Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/eMxy1mD0,2024.08.26,?,talmizrahi1,JanczarVegeta,1-0,2024.08.26,14:41:39,1446,1445,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/rD1S0pOF,2024.08.26,?,mozdayi,talmizrahi1,0-1,2024.08.26,14:39:03,1494,1440,-7,+6,Standard,60+0,D03,Time forfeit
Rated bullet game,https://lichess.org/ukSGCJXs,2024.08.26,?,talmizrahi1,Doug_R2,1-0,2024.08.26,14:32:58,1435,1395,+5,-5,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/Yg8gYwQW,2024.08.26,?,sixf0ur,talmizrahi1,1-0,2024.08.26,13:58:01,1451,1440,+6,-5,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/pu0Ssa3W,2024.08.26,?,talmizrahi1,neindavud,1-0,2024.08.26,13:55:11,1436,1343,+4,-5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/yNeKtLzW,2024.08.26,?,talmizrahi1,mauriceTM,0-1,2024.08.26,13:53:00,1442,1416,-6,+7,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/p6BNbzss,2024.08.26,?,Rkasiva,talmizrahi1,0-1,2024.08.26,13:49:25,1437,1436,-5,+6,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/ma82eKzj,2024.08.26,?,norbert711,talmizrahi1,1-0,2024.08.26,13:47:49,1446,1442,+6,-6,Standard,60+0,D24,Normal
Rated bullet game,https://lichess.org/38PuUVSP,2024.08.26,?,talmizrahi1,Fuegro,1-0,2024.08.26,12:10:53,1435,1512,+7,-7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/rJmlIl6j,2024.08.26,?,Karkarov,talmizrahi1,1-0,2024.08.26,12:06:48,1474,1440,+5,-5,Standard,60+0,D01,Time forfeit
Rated bullet game,https://lichess.org/giD8Y5Ky,2024.08.26,?,talmizrahi1,Gzb99,1/2-1/2,2024.08.26,11:59:46,1441,1392,-1,+1,Standard,60+0,C48,Time forfeit
Rated bullet game,https://lichess.org/zv0dsZUN,2024.08.26,?,xamaka,talmizrahi1,0-1,2024.08.26,09:34:49,1482,1434,-7,+7,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/ub4G0fyr,2024.08.26,?,SammyOfDoom,talmizrahi1,0-1,2024.08.26,09:33:35,1457,1428,-6,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/XSwuM4Fs,2024.08.26,?,talmizrahi1,ama-deusz,0-1,2024.08.26,09:32:21,1433,1445,-5,+5,Standard,60+0,C64,Normal
Rated bullet game,https://lichess.org/pfvuRecR,2024.08.26,?,talmizrahi1,Nazdare,0-1,2024.08.26,09:28:09,1437,1555,-4,+4,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/rb3d6TfF,2024.08.26,?,talmizrahi1,RobertD23,1-0,2024.08.26,09:26:44,1433,1345,+4,-60,Standard,60+0,C60,Normal
Rated bullet game,https://lichess.org/51zxckXm,2024.08.26,?,raid998,talmizrahi1,1-0,2024.08.26,09:24:29,1436,1439,+6,-6,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/1Sgzvacs,2024.08.26,?,eble1,talmizrahi1,1-0,2024.08.26,09:22:10,1454,1445,+5,-6,Standard,60+0,D24,Time forfeit
Rated bullet game,https://lichess.org/cM7A7mPZ,2024.08.26,?,talmizrahi1,AnastasAnanas,1-0,2024.08.26,09:20:00,1441,1500,+4,-279,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/86RjfpdC,2024.08.26,?,WorstMovesOnly,talmizrahi1,0-1,2024.08.26,09:12:43,1396,1436,-22,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/3SyukhcV,2024.08.26,?,Samuelkant,talmizrahi1,0-1,2024.08.26,08:55:07,1426,1430,-5,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/IUF4AcFT,2024.08.25,?,talmizrahi1,racobt,1-0,2024.08.25,19:02:51,1424,1443,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/UvjzZD38,2024.08.25,?,amino100,talmizrahi1,1-0,2024.08.25,17:51:29,1463,1430,+5,-6,Standard,60+0,D04,Normal
Rated bullet game,https://lichess.org/cTrs4z5X,2024.08.25,?,talmizrahi1,tosbi,0-1,2024.08.25,17:49:38,1436,1391,-6,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/7oaUhSUA,2024.08.25,?,E-W-Emox,talmizrahi1,1-0,2024.08.25,17:47:15,1450,1441,+6,-5,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/4qKGHWAO,2024.08.25,?,talmizrahi1,elieli148,1-0,2024.08.25,17:44:58,1436,1409,+5,-5,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/tcWauQv7,2024.08.25,?,mascoT1,talmizrahi1,1/2-1/2,2024.08.25,17:42:42,1431,1436,+0,+0,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/1xTpzqTY,2024.08.25,?,talmizrahi1,I_Want_Out,0-1,2024.08.25,17:40:35,1442,1450,-6,+6,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/oH1tyK8Y,2024.08.25,?,talmizrahi1,edmad,0-1,2024.08.25,17:38:18,1448,1418,-6,+6,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/SeAZLars,2024.08.25,?,sanjukta_deka,talmizrahi1,0-1,2024.08.25,17:35:51,1438,1442,-6,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/waWlqV7m,2024.08.25,?,Burner63,talmizrahi1,0-1,2024.08.25,17:34:19,1451,1436,-6,+6,Standard,60+0,D25,Normal
Rated bullet game,https://lichess.org/yCk8jVUG,2024.08.25,?,talmizrahi1,Burner63,1/2-1/2,2024.08.25,17:32:03,1436,1451,+0,+0,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/dVJusMof,2024.08.25,?,laufcb,talmizrahi1,0-1,2024.08.25,17:29:54,1412,1431,-7,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/QH46V2y7,2024.08.25,?,Psto5,talmizrahi1,0-1,2024.08.25,16:23:33,1404,1425,-6,+6,Standard,60+0,A04,Normal
Rated bullet game,https://lichess.org/zhVt98s0,2024.08.25,?,talmizrahi1,ohnothisisntcheckers,1-0,2024.08.25,09:33:09,1419,1459,+6,-7,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/jZI1j390,2024.08.25,?,Felix_Melnik,talmizrahi1,0-1,2024.08.25,09:30:53,1351,1414,-4,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/2h4kvh7Z,2024.08.25,?,talmizrahi1,rahulkun12,0-1,2024.08.25,09:30:11,1420,1423,-6,+8,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/iRZYxcSv,2024.08.25,?,Juangcanovas,talmizrahi1,1-0,2024.08.25,09:28:17,1436,1425,+6,-5,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/JpDGhKYC,2024.08.25,?,seymourbrb1,talmizrahi1,1-0,2024.08.25,09:26:03,1428,1431,+6,-6,Standard,60+0,A01,Time forfeit
Rated bullet game,https://lichess.org/UXQZ2sth,2024.08.25,?,talmizrahi1,Dolrich,0-1,2024.08.25,08:04:40,1437,1389,-6,+7,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/6OITHYb3,2024.08.25,?,Schofield,talmizrahi1,1-0,2024.08.25,07:28:37,1447,1443,+6,-6,Standard,60+0,B53,Normal
Rated bullet game,https://lichess.org/QTiqAkFN,2024.08.25,?,talmizrahi1,pebiscs,0-1,2024.08.25,07:19:29,1448,1487,-5,+5,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/DqntfVoB,2024.08.25,?,talmizrahi1,Dimurin,0-1,2024.08.25,07:17:12,1455,1377,-7,+7,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/B9y1XFKx,2024.08.24,?,shacharen,talmizrahi1,0-1,2024.08.24,20:15:15,1445,1449,-5,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/rDl96ko3,2024.08.24,?,talmizrahi1,Dusan2013,1-0,2024.08.24,20:12:49,1441,1571,+8,-7,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/ENjv8oPn,2024.08.24,?,taali,talmizrahi1,1-0,2024.08.24,20:11:04,1460,1447,+5,-6,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/wIP2K5OW,2024.08.24,?,talmizrahi1,fuatkaraca,1-0,2024.08.24,20:10:13,1442,1383,+5,-5,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/X9RhBbvP,2024.08.24,?,talmizrahi1,M_ZIA_M,1-0,2024.08.24,20:07:39,1436,1470,+6,-7,Standard,60+0,C48,Normal
Rated bullet game,https://lichess.org/zXYfXMhd,2024.08.24,?,lbchessh,talmizrahi1,1-0,2024.08.24,20:05:19,1442,1441,+5,-5,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/pDY5GQLz,2024.08.24,?,Iusglz,talmizrahi1,0-1,2024.08.24,20:03:00,1433,1436,-6,+5,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/bTMVgfE2,2024.08.24,?,talmizrahi1,pavokk,1-0,2024.08.24,20:00:48,1430,1429,+6,-6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/SxEBFRaq,2024.08.24,?,talmizrahi1,D_vats,0-1,2024.08.24,19:58:34,1436,1439,-6,+5,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/XL4XMX93,2024.08.24,?,Wageh2024,talmizrahi1,0-1,2024.08.24,19:56:31,1406,1430,-5,+6,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/IgAbjDtL,2024.08.24,?,JonAllawos,talmizrahi1,0-1,2024.08.24,19:54:28,1370,1425,-5,+5,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/MbMt9eRZ,2024.08.24,?,Amanmukhamet,talmizrahi1,1-0,2024.08.24,19:52:16,1432,1431,+6,-6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/fXyjnLlz,2024.08.24,?,HikaruCaruana9,talmizrahi1,0-1,2024.08.24,19:49:54,1385,1426,-5,+5,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/Ju2mVofb,2024.08.24,?,talmizrahi1,HikaruCaruana9,1-0,2024.08.24,19:47:46,1421,1390,+5,-5,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/RNK4MGDX,2024.08.24,?,Daniil770_NG,talmizrahi1,1-0,2024.08.24,19:46:19,1395,1427,+6,-6,Standard,60+0,D00,Normal
Rated bullet game,https://lichess.org/xAG3FHSS,2024.08.24,?,talmizrahi1,Daniil770_NG,0-1,2024.08.24,19:44:25,1433,1389,-6,+6,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/1AHULyI1,2024.08.24,?,avd_ara,talmizrahi1,0-1,2024.08.24,19:26:32,1448,1427,-6,+6,Standard,60+0,A04,Normal
Rated bullet game,https://lichess.org/tYdP448n,2024.08.24,?,talmizrahi1,E-W-Emox,1-0,2024.08.24,19:23:59,1421,1430,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/rbfy7uZR,2024.08.24,?,Amikamlapola69,talmizrahi1,0-1,2024.08.24,19:21:29,1408,1416,-5,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/daEldlZq,2024.08.24,?,talmizrahi1,Duber_2020,0-1,2024.08.24,19:20:13,1420,1468,-4,+5,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/PZcTiPYp,2024.08.24,?,joelschellenberg,talmizrahi1,1-0,2024.08.24,19:17:58,1461,1426,+6,-6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/doP6FL49,2024.08.24,?,talmizrahi1,gonzalouferer,0-1,2024.08.24,19:15:46,1432,1407,-6,+6,Standard,60+0,B30,Normal
Rated bullet game,https://lichess.org/VHydKq6N,2024.08.24,?,talmizrahi1,bepza86,0-1,2024.08.24,19:13:57,1437,1471,-5,+5,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/EaMoZAtM,2024.08.24,?,Tuhermana85,talmizrahi1,1-0,2024.08.24,19:12:06,1481,1442,+5,-5,Standard,60+0,B23,Normal
Rated bullet game,https://lichess.org/gXJWBmpb,2024.08.24,?,Hummet99,talmizrahi1,0-1,2024.08.24,19:09:43,1364,1437,-6,+5,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/bWR0lQ9w,2024.08.24,?,talmizrahi1,Tokieh,1-0,2024.08.24,19:07:30,1431,1468,+6,-6,Standard,60+0,C55,Time forfeit
Rated bullet game,https://lichess.org/2jW85t2M,2024.08.24,?,talmizrahi1,moradi94,1-0,2024.08.24,19:05:41,1426,1343,+5,-4,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/bp3EHBaG,2024.08.24,?,naka91,talmizrahi1,1-0,2024.08.24,19:04:24,1496,1431,+5,-5,Standard,60+0,D24,Normal
Rated bullet game,https://lichess.org/nqZ6zmYu,2024.08.24,?,ejderha_imparator,talmizrahi1,1-0,2024.08.24,19:02:20,1436,1437,+6,-6,Standard,60+0,A34,Time forfeit
Rated bullet game,https://lichess.org/dEtJ77by,2024.08.24,?,MisterFinster,talmizrahi1,1-0,2024.08.24,19:00:03,1468,1442,+5,-5,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/SCIAbvEn,2024.08.24,?,talmizrahi1,xlow,1-0,2024.08.24,18:58:00,1436,1448,+6,-6,Standard,60+0,C47,Time forfeit
Rated bullet game,https://lichess.org/7YDPfqtS,2024.08.24,?,talmizrahi1,iso42,0-1,2024.08.24,18:55:59,1443,1372,-7,+7,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/8mVD9oay,2024.08.24,?,mattjarz,talmizrahi1,1-0,2024.08.24,18:10:56,1524,1447,+5,-4,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/hRiBaY1w,2024.08.24,?,talmizrahi1,Asadullah_Mirzapour,0-1,2024.08.24,17:59:23,1453,1470,-6,+5,Standard,60+0,A05,Normal
Rated bullet game,https://lichess.org/Na68PQEv,2024.08.24,?,talmizrahi1,puigmal,0-1,2024.08.24,17:57:47,1459,1438,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/7UxpiAuT,2024.08.24,?,mapache_mapf,talmizrahi1,1-0,2024.08.24,17:55:32,1510,1464,+5,-5,Standard,60+0,D04,Normal
Rated bullet game,https://lichess.org/JhluAzdD,2024.08.24,?,talmizrahi1,PepuhSC,0-1,2024.08.24,17:53:27,1470,1219,-6,+275,Standard,60+0,C63,Time forfeit
Rated bullet game,https://lichess.org/6ymEx1LG,2024.08.24,?,Kxps-jjxy,talmizrahi1,0-1,2024.08.24,17:51:43,1523,1463,-7,+7,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/9sbiH94t,2024.08.24,?,pirata688,talmizrahi1,1-0,2024.08.24,17:49:25,1528,1468,+5,-5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/uAmDtF2z,2024.08.24,?,talmizrahi1,Fall_n,0-1,2024.08.24,17:47:08,1474,1432,-6,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/0vYnIDVj,2024.08.24,?,EikoFresh,talmizrahi1,0-1,2024.08.24,17:44:48,1473,1468,-13,+6,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/1YN7MClI,2024.08.24,?,WalterFranco,talmizrahi1,1-0,2024.08.24,17:42:28,1464,1474,+6,-6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/vshQGU8v,2024.08.24,?,talmizrahi1,timidbeast,0-1,2024.08.24,17:40:20,1478,1579,-4,+4,Standard,60+0,C47,Time forfeit
Rated bullet game,https://lichess.org/EUZakfGp,2024.08.24,?,talmizrahi1,masrodas,1-0,2024.08.24,17:38:56,1471,1580,+7,-7,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/jUAj5uWe,2024.08.24,?,utkucaganacayy,talmizrahi1,1-0,2024.08.24,17:36:54,1496,1476,+6,-5,Standard,60+0,B21,Normal
Rated bullet game,https://lichess.org/yZexzvx0,2024.08.24,?,talmizrahi1,LiamStorey,1-0,2024.08.24,17:34:47,1471,1448,+5,-5,Standard,60+0,B86,Time forfeit
Rated bullet game,https://lichess.org/KnpW68OK,2024.08.24,?,talmizrahi1,dusty_chessboard,1-0,2024.08.24,17:32:33,1465,1451,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/nlhuy9Fo,2024.08.24,?,Ronny_emilio,talmizrahi1,0-1,2024.08.24,17:30:17,1428,1460,-5,+5,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/bRZ8uJ4h,2024.08.24,?,Pepperonibreakdown,talmizrahi1,1-0,2024.08.24,17:29:08,1437,1466,+7,-6,Standard,60+0,D20,Normal
Rated bullet game,https://lichess.org/EspYtouk,2024.08.24,?,JavierJC20,talmizrahi1,0-1,2024.08.24,17:04:17,1458,1461,-6,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/ZKGFAvP9,2024.08.24,?,talmizrahi1,TeddyDuy01,0-1,2024.08.24,17:02:09,1466,1496,-5,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/X1RFMQ9a,2024.08.24,?,talmizrahi1,Antonio_Serrano,1-0,2024.08.24,17:00:18,1460,1455,+6,-5,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/sUk6IJ8D,2024.08.24,?,PAIKAN90,talmizrahi1,1-0,2024.08.24,16:56:38,1424,1466,+6,-6,Standard,60+0,B22,Time forfeit
Rated bullet game,https://lichess.org/Wsi1oadm,2024.08.24,?,talmizrahi1,rdlc,0-1,2024.08.24,16:31:56,1471,1518,-5,+5,Standard,60+0,B30,Normal
Rated bullet game,https://lichess.org/y6pinRA3,2024.08.24,?,crabman,talmizrahi1,1-0,2024.08.24,16:22:52,1428,1478,+7,-7,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/1Basouq4,2024.08.24,?,sergo2117,talmizrahi1,0-1,2024.08.24,15:34:07,1501,1472,-6,+6,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/4fqLgAgB,2024.08.24,?,talmizrahi1,beolum,1-0,2024.08.24,15:00:26,1467,1376,+5,-5,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/sXtOAAdP,2024.08.24,?,ccun,talmizrahi1,0-1,2024.08.24,14:49:31,1517,1461,-7,+6,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/tOCdQhoN,2024.08.24,?,talmizrahi1,Albusej,1-0,2024.08.24,14:46:13,1455,1448,+6,-6,Standard,60+0,C49,Time forfeit
Rated bullet game,https://lichess.org/FiEr8cde,2024.08.24,?,talmizrahi1,rohithpanyam,0-1,2024.08.24,14:45:11,1460,1478,-5,+5,Standard,60+0,C01,Normal
Rated bullet game,https://lichess.org/BDNFy297,2024.08.24,?,Redgo,talmizrahi1,1-0,2024.08.24,14:43:46,1451,1466,+6,-6,Standard,60+0,A46,Normal
Rated bullet game,https://lichess.org/EWXBPwJ2,2024.08.24,?,igobananazzz,talmizrahi1,0-1,2024.08.24,14:01:59,1373,1462,-5,+4,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/hx1xyWFw,2024.08.24,?,talmizrahi1,ds_12345,1-0,2024.08.24,13:59:23,1457,1417,+5,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/uLPo4bzy,2024.08.24,?,talmizrahi1,Argento21,1-0,2024.08.24,13:57:09,1451,1466,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/1Acmh2oF,2024.08.24,?,ANZzzz,talmizrahi1,1-0,2024.08.24,13:55:26,1421,1457,+6,-6,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/PUXTdPlr,2024.08.24,?,talmizrahi1,vinodlongani1990,0-1,2024.08.24,13:54:08,1462,1541,-5,+4,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/nP8KRQ39,2024.08.24,?,talmizrahi1,rkamlesh73,0-1,2024.08.24,13:52:04,1467,1498,-5,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/8QnAleqT,2024.08.24,?,olegbarabanov,talmizrahi1,0-1,2024.08.24,13:27:05,1414,1462,-5,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/db58OlJB,2024.08.24,?,Igrok_161rus,talmizrahi1,0-1,2024.08.24,12:21:36,1489,1455,-6,+7,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/0X1G4xak,2024.08.24,?,talmizrahi1,The_Eagle_The_Champ,1-0,2024.08.24,12:19:34,1451,1393,+4,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/nHGFUg4z,2024.08.24,?,bigboy1111,talmizrahi1,1-0,2024.08.24,12:17:27,1463,1456,+10,-5,Standard,60+0,D25,Time forfeit
Rated bullet game,https://lichess.org/VVj0eFwq,2024.08.24,?,talmizrahi1,Merlonidas,0-1,2024.08.24,12:16:22,1462,1429,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/y23Ny85l,2024.08.24,?,talmizrahi1,Boulden,0-1,2024.08.24,11:36:42,1468,1468,-6,+6,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/TjNtzXVi,2024.08.24,?,Tanrish,talmizrahi1,0-1,2024.08.24,11:33:50,1504,1461,-6,+7,Standard,60+0,D07,Time forfeit
Rated bullet game,https://lichess.org/HMA6Au4u,2024.08.24,?,talmizrahi1,ffatihim,0-1,2024.08.24,11:31:43,1467,1478,-6,+6,Standard,60+0,B23,Normal
Rated bullet game,https://lichess.org/pFMYw3uD,2024.08.24,?,Umar636319,talmizrahi1,0-1,2024.08.24,11:29:26,1451,1461,-5,+6,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/fQEmbNZN,2024.08.24,?,cergo13,talmizrahi1,0-1,2024.08.24,11:27:20,1409,1457,-30,+4,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/x5LIskRU,2024.08.24,?,NorthernDuck,talmizrahi1,0-1,2024.08.24,11:24:06,1400,1452,-5,+5,Standard,60+0,B27,Time forfeit
Rated bullet game,https://lichess.org/VP0PKGe0,2024.08.24,?,talmizrahi1,gbosh,1/2-1/2,2024.08.24,11:21:38,1452,1458,+0,+0,Standard,60+0,C49,Time forfeit
Rated bullet game,https://lichess.org/gJdsnmh6,2024.08.24,?,talmizrahi1,dmitrii2894,1-0,2024.08.24,11:20:42,1446,1414,+6,-5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/Arfp5pYu,2024.08.24,?,StalwartAnteater,talmizrahi1,0-1,2024.08.24,11:19:09,1423,1441,-6,+5,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/z3hlTnIe,2024.08.24,?,talmizrahi1,RookOnMars,0-1,2024.08.24,11:16:57,1446,1501,-5,+4,Standard,60+0,B08,Time forfeit
Rated bullet game,https://lichess.org/LzmyMP38,2024.08.24,?,Nathan_zzz,talmizrahi1,1-0,2024.08.24,11:15:53,1500,1449,+207,-3,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/7CHMsJZF,2024.08.24,?,TengizMoshiashvili8,talmizrahi1,1-0,2024.08.24,11:13:32,1445,1454,+6,-5,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/HZqLF95j,2024.08.24,?,talmizrahi1,Multimedio,1-0,2024.08.24,11:11:22,1448,1497,+6,-6,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/sjBFCBm1,2024.08.24,?,talmizrahi1,aazack,0-1,2024.08.24,11:09:07,1454,1395,-6,+7,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/b7eQiEWN,2024.08.24,?,Mazzon,talmizrahi1,1-0,2024.08.24,11:07:18,1460,1460,+6,-6,Standard,60+0,B23,Normal
Rated bullet game,https://lichess.org/UryF5Xkm,2024.08.24,?,talmizrahi1,Foxgcleax,1-0,2024.08.24,11:04:53,1455,1446,+5,-11,Standard,60+0,B40,Time forfeit
Rated bullet game,https://lichess.org/TsTiJ8kK,2024.08.24,?,PAnatoliyA,talmizrahi1,0-1,2024.08.24,11:02:52,1351,1450,-4,+5,Standard,60+0,B53,Time forfeit
Rated bullet game,https://lichess.org/SoAvBT0N,2024.08.24,?,Khxldv,talmizrahi1,0-1,2024.08.24,11:00:40,1449,1445,-5,+5,Standard,60+0,B61,Time forfeit
Rated bullet game,https://lichess.org/TbDbhNnZ,2024.08.24,?,talmizrahi1,Shedevil,1-0,2024.08.24,10:58:30,1438,1458,+7,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/5kK7562z,2024.08.24,?,talmizrahi1,Buzman62,0-1,2024.08.24,10:56:20,1444,1447,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/wFtx014b,2024.08.24,?,Kskibrahim35_5,talmizrahi1,1-0,2024.08.24,10:54:01,1408,1450,+6,-6,Standard,60+0,D01,Time forfeit
Rated bullet game,https://lichess.org/PxzWo022,2024.08.24,?,talmizrahi1,adonysss,1-0,2024.08.24,10:51:57,1445,1454,+5,-6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/MMEDwL5p,2024.08.24,?,just4god,talmizrahi1,0-1,2024.08.24,10:49:42,1427,1439,-5,+6,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/84ippEbe,2024.08.24,?,talmizrahi1,boson95,0-1,2024.08.24,10:47:28,1444,1463,-5,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/iADvBgIe,2024.08.24,?,ValeryGros,talmizrahi1,0-1,2024.08.24,10:45:11,1415,1439,-5,+5,Standard,60+0,D01,Time forfeit
Rated bullet game,https://lichess.org/QwMo8zcl,2024.08.24,?,talmizrahi1,gbosh,0-1,2024.08.24,10:42:49,1444,1465,-5,+5,Standard,60+0,C65,Normal
Rated bullet game,https://lichess.org/9cBDQwOV,2024.08.24,?,LisaFox,talmizrahi1,1-0,2024.08.24,10:40:33,1390,1451,+7,-7,Standard,60+0,B52,Time forfeit
Rated bullet game,https://lichess.org/F9TtZL3S,2024.08.24,?,talmizrahi1,Chess_Maleficient,0-1,2024.08.24,10:38:15,1456,1490,-5,+5,Standard,60+0,B08,Normal
Rated bullet game,https://lichess.org/2220dd9j,2024.08.24,?,Llamier,talmizrahi1,1-0,2024.08.24,10:36:03,1438,1462,+6,-6,Standard,60+0,A01,Time forfeit
Rated bullet game,https://lichess.org/c6434OOT,2024.08.24,?,talmizrahi1,trehan_sarthak,0-1,2024.08.24,10:33:59,1467,1487,-5,+6,Standard,60+0,B40,Time forfeit
Rated bullet game,https://lichess.org/wYGqfWnb,2024.08.24,?,oliverwhite07,talmizrahi1,1-0,2024.08.24,10:32:00,1378,1474,+78,-7,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/dyd91Ckb,2024.08.24,?,talmizrahi1,Enesba,1-0,2024.08.24,08:59:23,1468,1455,+6,-5,Standard,60+0,B06,Normal
